,rlbl,nan_count,I
245,Left_p10p,0,349
246,Left_p47r,0,350
247,Left_MBelt,0,352
248,Left_LBelt,0,353
249,Left_A4,0,354
250,Left_STSva,0,355
251,Left_TE1m,0,356
252,Left_PI,0,357
253,Left_V4t,0,335
254,Left_PHA2,0,334
255,Left_VMV3,0,333
256,Left_VMV1,0,332
257,Left_TE2p,0,315
258,Left_PHT,0,316
259,Left_PH,0,317
260,Left_TPOJ1,0,318
261,Left_TPOJ2,0,319
262,Left_TPOJ3,0,320
263,Left_DVT,0,321
264,Left_PGp,0,322
265,Left_IP2,0,323
266,Left_IP1,0,324
267,Left_IP0,0,325
268,Left_PFop,0,326
269,Left_PF,0,327
270,Left_PFm,0,328
271,Left_PGi,0,329
272,Left_PGs,0,330
273,Left_V6A,0,331
274,Left_a9-46v,0,264
275,Left_46,0,263
276,Left_p9-46v,0,262
277,Left_PCV,0,206
278,Left_V7,0,195
279,Left_IPS1,0,196
280,Left_FFC,0,197
281,Left_V3B,0,198
282,Left_MT,0,202
283,Left_A1,0,203
284,Left_PSL,0,204
285,Left_SFL,0,205
286,Left_STV,0,207
287,Left_IFSa,0,261
288,Left_7Pm,0,208
289,Left_7m,0,209
290,Left_POS1,0,210
291,Left_23d,0,211
292,Left_v23ab,0,212
293,Left_d23ab,0,213
294,Left_31pv,0,214
295,Left_5m,0,215
296,Left_POS2,0,194
297,Left_RSC,0,193
298,Left_V3A,0,192
299,Left_55b,0,191
300,Right_LBelt,0,173
301,Right_A4,0,174
302,Right_STSva,0,175
303,Right_PI,0,177
304,Right_a32pr,0,178
305,Left_a32pr,0,358
306,Left_V1,0,180
307,Left_MST,0,181
308,Left_V6,0,182
309,Left_V2,0,183
310,Left_V3,0,184
311,Left_V4,0,185
312,Left_V8,0,186
313,Left_4,0,187
314,Left_3b,0,188
315,Left_FEF,0,189
316,Left_PEF,0,190
317,Left_5mv,0,216
318,Left_23c,0,217
319,Left_5L,0,218
320,Left_a24,0,240
321,Left_8BM,0,242
322,Left_p32,0,243
323,Left_47m,0,245
324,Left_8Av,0,246
325,Left_8Ad,0,247
326,Left_9m,0,248
327,Left_8BL,0,249
328,Left_9p,0,250
329,Left_8C,0,252
330,Left_44,0,253
331,Left_45,0,254
332,Left_47l,0,255
333,Left_a47r,0,256
334,Left_6r,0,257
335,Left_IFJa,0,258
